	Sample_H1_08	Sample_H1_09	Sample_H1_10	Sample_H1_11	Sample_H1_12	Sample_H1_14	Sample_H1_19	Sample_H1_22	Sample_H1_29	Sample_H2_05	Sample_H2_09	Sample_H2_107	Sample_H2_109	Sample_H2_119	Sample_H2_13	Sample_H2_24	Sample_H2_25	Sample_H2_28	Sample_H2_37	Sample_H2_46	Sample_H2_61	Sample_H2_76	Sample_H2_82	Sample_H2_84	Sample_H2_92	Sample_H2_96	Sample_P01	Sample_P02	Sample_P03	Sample_P06	Sample_P08	Sample_P11	Sample_P12	Sample_P15	Sample_P18	Sample_s11	Sample_s104	Sample_s109	Sample_s112	Sample_s115	Sample_s127	Sample_s128	Sample_s143	Sample_s148	Sample_s153	Sample_s154	Sample_s156	Sample_s158	Sample_s159	Sample_s164	Sample_s167	Sample_s168	Sample_s181	Sample_s184	Sample_s185	Sample_s189	Sample_s200	Sample_s201	Sample_s203	Sample_s207	Sample_s209	Sample_s77	Sample_s82	Sample_s89	Sample_s90	Sample_s91	Sample_s92	Sample_s94	Sample_s96	Sample_s97	Sample_s98	Sample_s99	Sample_S10A	Sample_S11A	Sample_S12A	Sample_S13A	Sample_S14A	Sample_S15A	Sample_S16A	Sample_S17A	Sample_S18A	Sample_S19A	Sample_S1A	Sample_S20A	Sample_S21A	Sample_S22A	Sample_S23A	Sample_S24A	Sample_S25A	Sample_S26A	Sample_S27A	Sample_S28A	Sample_S29A	Sample_S2A	Sample_S30A	Sample_S31A	Sample_S32A	Sample_S33A	Sample_S34A	Sample_S35A	Sample_S36A	Sample_S37A	Sample_S38A	Sample_S39A	Sample_S3A	Sample_S40A	Sample_S41A	Sample_S42A	Sample_S43A	Sample_S4A	Sample_S5A	Sample_S6A	Sample_S7A	Sample_S8A	Sample_S9A	Sample_S10B	Sample_S11B	Sample_S12B	Sample_S13B	Sample_S14B	Sample_S15B	Sample_S16B	Sample_S17B	Sample_S18B	Sample_S19B	Sample_S1B	Sample_S20B	Sample_S21B	Sample_S22B	Sample_S23B	Sample_S24B	Sample_S25B	Sample_S26B	Sample_S27B	Sample_S28B	Sample_S29B	Sample_S2B	Sample_S30B	Sample_S31B	Sample_S32B	Sample_S33B	Sample_S34B	Sample_S35B	Sample_S36B	Sample_S37B	Sample_S38B	Sample_S39B	Sample_S3B	Sample_S40B	Sample_S41B	Sample_S42B	Sample_S43B	Sample_S4B	Sample_S5B	Sample_S6B	Sample_S7B	Sample_S8B	Sample_S9B
Sample_H1_08.12	-0.563603907	0.666242431	-0.677244729	-0.779741719	-0.724753196	0.497336614	-0.123696418	-3.392870979	0.578513385	-0.507082512	1.253308078	0.111736072	0.000524974	-0.182336696	1.580254979	-0.705331689	0.135557839	-0.293772907	0.354996539	-0.376680848	0.177649082	-1.667493843	1.358815401	1.141309521	0.343278706	-3.392870979	-1.174644145	0.473237148	-3.392870979	-3.392870979	-3.392870979	0.860647524	0.173294892	-0.194304306	-3.392870979	-3.392870979	0.932013914	0.847809363	-0.487764746	2.277245624	-3.392870979	0.756927931	1.310090492	-3.392870979	-0.925668806	-3.392870979	0.787665994	2.531291773	0.776804462	2.327969217	1.371693075	1.921044578	-3.392870979	-0.33883187	-3.392870979	0.618874744	1.029540816	0.41774858	0.84405331	-3.392870979	0.097455918	-3.392870979	1.124461783	-0.05795289	-0.406826338	1.007758434	1.35405952	0.343980918	2.536600449	0.893941453	0.093989889	0.477621023	-0.736840676	-0.924097678	0.222740492	1.767398618	-3.392870979	0.477658334	0.779623	1.024195296	0.343783026	-0.948662437	0.721839739	0.020836501	0.289918612	1.804116783	-1.573299652	-1.838150794	-0.520615289	0.469677296	0.234830083	-0.453423939	-1.255395115	1.356005895	-0.550570865	1.766015154	-3.392870979	0.0542765	-3.392870979	-0.526730929	-0.393711705	-0.244507567	0.396681743	-0.975747955	0.293430628	-0.411106348	-0.020277848	0.186464472	-0.454693691	1.621756881	0.596230441	1.023990028	0.00087691	0.905035829	-0.134271589	2.453440499	-0.709757665	2.573105158	2.024327261	2.050226532	2.251663081	-0.334790464	1.736885191	0.334898851	-0.815765399	1.390210802	0.784595813	1.202883652	1.918626022	2.105245609	-3.392870979	2.038072018	1.864696001	1.112405479	0.635267793	1.684558465	-2.653204478	0.631719958	0.341746034	-3.392870979	0.622329364	-3.392870979	0.281795862	1.570383173	-0.088805296	0.162350269	1.957390305	1.216045417	2.19681926	0.051415621	1.082060935	-3.392870979	-1.413725042	1.292480793	1.651431953	1.039997979	1.95774052	2.454630174
Sample_H1_08.14	2.385740904	0.873795064	0.642196066	0.157584669	-1.206511198	1.143112217	1.571354276	0.605489119	1.699143094	-1.206511198	0.602412225	0.040691189	0.017043257	1.137936413	1.038625055	-0.539795679	0.069024854	0.749567997	1.156252992	0.508184005	0.692259461	-0.010326949	0.671047575	-1.206511198	1.907478911	-1.206511198	0.342665057	-1.206511198	-1.206511198	-1.206511198	-1.206511198	0.723355103	0.129299269	0.835002961	0.778301182	-1.206511198	0.294977855	-1.206511198	-1.206511198	0.098854153	-1.206511198	-1.206511198	-0.169639882	0.217822866	-1.206511198	-1.206511198	1.487830058	0.89622601	0.119101384	-1.206511198	0.749451327	0.097546666	-1.206511198	-0.736807504	-1.206511198	1.127926527	-1.206511198	-1.206511198	-0.255888781	-1.206511198	-1.206511198	-1.206511198	-1.206511198	-1.206511198	-1.206511198	-1.206511198	-0.285266399	-1.206511198	-0.01958372	0.415710065	-1.206511198	-1.206511198	0.584283927	0.196164286	0.697517432	2.191947884	-1.206511198	0.839653711	0.96388796	1.034169984	1.019435139	-0.332659295	0.386248841	1.552873975	0.105327504	1.387830942	0.622710471	1.442305857	1.126329078	1.074194637	0.151281764	-1.206511198	1.297732962	0.909658274	0.289117892	1.485355037	-1.206511198	1.303519662	1.642082792	-1.206511198	0.957530237	0.452108075	-1.206511198	1.818956314	0.505810296	-1.206511198	1.156656213	1.292657277	1.172984889	1.311889058	1.047655099	0.98427899	-1.206511198	0.410235308	0.002032492	0.40719129	-1.206511198	-1.206511198	1.270190594	-1.206511198	-1.206511198	-1.206511198	0.338660641	-0.164555143	-1.206511198	-0.140986346	-0.121825101	-0.58815731	0.485017767	-1.206511198	-0.549190901	1.970459313	0.23264692	-0.475780329	-0.640616686	1.735146869	2.711467113	-1.206511198	1.400520667	-1.206511198	-1.206511198	0.085192963	-1.206511198	-0.147946595	-1.206511198	-0.385833413	0.835122072	0.707925643	-1.206511198	-0.203083085	0.090641012	-1.206511198	-1.206511198	-1.206511198	-1.206511198	-1.206511198	-0.227235897	0.683677971
Sample_H1_08.15	3.381618776	0.675572027	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	0.851409795	-0.167339528	0.515035423	-0.167339528	-0.167339528	-0.167339528	1.155107006	0.433974701	-0.167339528	-0.167339528	-0.167339528	2.016930152	-0.167339528	1.366949532	-0.167339528	0.638509027	-0.167339528	-0.167339528	-0.167339528	5.128075083	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	0.980416171	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	1.197211733	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	0.62110016	-0.167339528	-0.167339528	0.49293927	-0.167339528	-0.167339528	-0.167339528	0.314259762	-0.167339528	-0.167339528	-0.167339528	-0.167339528	0.325614956	-0.167339528	-0.167339528	-0.167339528	0.281215401	1.405580332	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	0.456646797	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	0.854688769	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528	-0.167339528
Sample_H1_08.4	2.786655952	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	1.948591166	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	1.366248057	-0.066325957	-0.066325957	-0.066325957	-0.066325957	0.6107329	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	2.487559644	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	0.881757732	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957	-0.066325957
Sample_H1_08.8	3.856333349	0.521694167	0.832553899	-0.44895836	-0.44895836	1.580180881	-0.44895836	-0.44895836	0.778280222	-0.44895836	-0.44895836	-0.44895836	-0.44895836	2.618907396	0.413120246	0.293021392	-0.44895836	1.30375093	-0.44895836	0.471186178	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	0.461258535	-0.44895836	-0.44895836	3.097478269	-0.44895836	0.41935654	-0.44895836	0.098899897	-0.44895836	3.215032847	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	1.668968547	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	1.807014693	0.988899023	-0.44895836	-0.44895836	1.397408851	-0.44895836	-0.44895836	-0.44895836	0.318138341	-0.44895836	-0.44895836	-0.44895836	-0.44895836	1.320471888	0.594220809	-0.44895836	-0.44895836	1.010759948	-0.44895836	0.559268689	-0.44895836	-0.44895836	-0.44895836	1.744556232	0.719553907	0.955900224	-0.44895836	-0.44895836	4.835309647	-0.44895836	-0.44895836	1.914905756	1.060232314	0.613308743	2.355362595	1.106602999	-0.44895836	-0.44895836	2.310269563	0.718322858	-0.44895836	-0.44895836	-0.44895836	0.5039861	-0.44895836	-0.44895836	-0.44895836	0.363257369	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	0.338800072	-0.44895836	-0.44895836	-0.44895836	-0.44895836	2.422788097	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	0.611167062	-0.44895836	-0.44895836	0.327599061	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836	-0.44895836
Sample_H1_09.10	-0.047833408	3.714489493	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	3.747522222	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408	-0.047833408
Sample_H1_09.13	-0.709610563	2.889397389	-0.709610563	-0.709610563	-0.709610563	-0.709610563	1.943669135	-0.709610563	-0.709610563	2.052265019	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	1.639331391	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	1.658617173	-0.709610563	-0.709610563	-0.709610563	3.631616826	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	3.983688734	4.56574837	-0.709610563	-0.709610563	2.910886914	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	2.993022067	3.734573224	2.162529153	-0.709610563	3.217011956	-0.709610563	-0.709610563	-0.709610563	2.587482354	1.817101565	-0.709610563	2.015059734	-0.709610563	2.093941395	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	0.818740542	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	1.660544365	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	-0.709610563	1.966458086	-0.709610563	-0.709610563	-0.709610563	3.329613048	2.798476935	3.106154674	-0.709610563	-0.709610563	3.000480737	-0.709610563	-0.709610563	2.508656739	-0.709610563	-0.709610563	-0.709610563	2.397593698	2.788419101	-0.709610563	-0.709610563	-0.709610563	2.041258317	-0.709610563	2.621060445	-0.709610563	4.153908961	-0.709610563	-0.709610563	2.934860195	3.628682949	3.05046919	-0.709610563
Sample_H1_09.33	-0.112260409	3.67666218	-0.112260409	2.015255934	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	2.670232725	-0.112260409	-0.112260409	-0.112260409	-0.112260409	4.475603633	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	0.676328174	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	-0.112260409	3.549499531	-0.112260409	-0.112260409	-0.112260409
Sample_H1_09.35	0.933348146	2.756988977	0.751195521	0.485684547	0.742524067	-0.563304331	-0.318490356	-0.563304331	-0.563304331	1.027947105	-0.563304331	0.236106526	0.459231568	-0.563304331	0.185753205	0.27303881	0.313309776	1.254765029	-0.563304331	-0.563304331	1.509501971	-0.563304331	0.240777162	-0.563304331	0.45775781	-0.563304331	1.622414727	-0.563304331	-0.563304331	-0.563304331	3.000948224	-0.563304331	0.838303798	0.434764781	1.020944317	0.641848381	-0.563304331	-0.563304331	-0.563304331	-0.153790753	1.029749372	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.585734248	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.265604511	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.372543062	0.352446274	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.395986284	2.029701543	0.550099853	0.688217508	-0.114285795	2.096408707	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.169279887	-0.563304331	-0.563304331	0.599956684	1.787501912	-0.130776328	-0.093751695	0.441424002	0.075372037	-0.563304331	-0.563304331	-0.244003656	2.022700021	1.821389264	1.021289443	1.297184107	-0.563304331	-0.563304331	0.391789289	0.329157383	-0.563304331	0.358900686	1.551373452	-0.563304331	-0.563304331	-0.563304331	1.352864499	1.03788508	0.207445336	0.678520988	-0.194248854	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.333606972	0.105478828	0.843727408	-0.563304331	-0.563304331	-0.563304331	-0.563304331	-0.563304331	1.016831991	-0.563304331	-0.563304331	-0.096343674	-0.563304331	-0.563304331	-0.563304331	1.147208706	0.00743845	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.740734283	-0.290749497	-0.563304331	-0.563304331	-0.563304331	-0.563304331	2.840918153	0.498293462	-0.563304331	0.61858922	-0.563304331	-0.563304331	-0.563304331	-0.563304331	0.70060617	-0.563304331	-0.563304331	0.557972334	-0.563304331	-0.563304331
Sample_H1_09.43	-0.114313595	3.886333087	-0.114313595	1.377664685	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	1.404510886	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	1.956153716	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	1.693213174	-0.114313595	-0.114313595	-0.114313595	1.739803858	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	1.548877224	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	2.399600728	-0.114313595	-0.114313595	-0.114313595	1.026568263	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595	-0.114313595
