ID	Taxonomy
Sample_S29B.32	Collinsella aerofaciens
Sample_S23B.19	Collinsella aerofaciens
Sample_s159.33	Prevotella copri
Sample_S35A.13	Clostridium sp. CAG:568
Sample_S32A.38	Collinsella aerofaciens
Sample_s109.21	Collinsella aerofaciens
Sample_H2_46.21	Prevotella sp. CAG:732
Sample_S19B.57	Collinsella aerofaciens
Sample_S33A.36	Bifidobacterium adolescentis
Sample_S33A.33	Megamonas funiformis
Sample_S13B.8	[Eubacterium] rectale
Sample_H1_12.6	Alistipes putredinis
Sample_s154.21	Bifidobacterium pseudocatenulatum
Sample_s112.17	Firmicutes bacterium CAG:582
Sample_s164.6	Sutterella wadsworthensis
Sample_S32B.45	Clostridiales bacterium
Sample_S2A.2	uncultured Ruminococcus sp.
Sample_H2_28.39	Prevotella sp.
Sample_S18A.4	Collinsella aerofaciens
Sample_S28B.47	Clostridium sp. CAG:510
Sample_s185.13	Alistipes sp. 5NYCFAH2
Sample_S24A.11	Faecalibacterium prausnitzii
Sample_S7B.13	Lactobacillus animalis
Sample_S34A.12	Roseburia sp. OF03-24
Sample_H2_96.13	Collinsella sp. AF38-3AC
Sample_S14B.5	Prevotella copri
Sample_H1_12.8	Clostridium sp. CAG:914
Sample_S29A.15	Prevotella sp. CAG:5226
Sample_s185.11	Eggerthella lenta
Sample_s200.27	Parolsenella catena
Sample_s97.9	Butyrivibrio sp.
Sample_S14A.4	Faecalibacterium prausnitzii
Sample_s184.38	Collinsella aerofaciens
Sample_S33B.34	Dialister succinatiphilus
Sample_S3B.23	Prevotella sp. CAG:5226
Sample_S38B.56	Catenibacterium mitsuokai
Sample_s112.16	Firmicutes bacterium CAG:313
Sample_S16B.16	Collinsella aerofaciens
Sample_H2_109.45	Acholeplasma sp. CAG:878
Sample_S35A.18	Clostridiales bacterium
Sample_S7A.21	Prevotella sp. CAG:891
Sample_P18.46	Faecalibacterium prausnitzii
Sample_S5A.47	Bacteroides sp. CAG:709
Sample_S11B.29	Coriobacteriaceae bacterium
Sample_P15.14	Prevotella sp. 885
Sample_H2_84.10	Collinsella aerofaciens
Sample_s112.3	Enterococcus faecium
Sample_s94.17	Firmicutes bacterium CAG:124
Sample_H1_12.58	Clostridiales bacterium
Sample_S34B.5	Sutterella wadsworthensis
Sample_s207.23	Eubacterium sp. CAG:581
Sample_H2_61.45	Mycoplasma sp. CAG:472
Sample_S40A.33	Ruminococcaceae bacterium
Sample_H2_09.35	Prevotella copri
Sample_s128.35	Ruminococcaceae bacterium
Sample_H2_09.20	Bifidobacterium ruminantium
Sample_S39B.2	Azospirillum sp. 51_20
Sample_H2_109.14	Elusimicrobia bacterium
Sample_s112.47	Firmicutes bacterium
Sample_S24B.1	Coriobacteriia bacterium
Sample_S32B.16	Bifidobacterium gallinarum
Sample_S6B.28	Firmicutes bacterium CAG:129
Sample_H2_13.31	Prevotella sp.
Sample_S4A.12	Collinsella aerofaciens
Sample_s89.16	Ruminococcaceae bacterium
Sample_s97.14	Prevotella sp. CAG:5226
Sample_H1_11.20	Eubacterium sp. CAG:841
Sample_S9B.5	uncultured Flavonifractor sp.
Sample_S34A.29	Collinsella aerofaciens
Sample_P11.21	Clostridiales bacterium
Sample_H2_28.13	Catenibacterium sp. AM22-15
Sample_S6B.33	Sutterella megalosphaeroides
Sample_s207.20	Akkermansia muciniphila
Sample_S9A.25	Klebsiella variicola
Sample_S15A.7	Prevotella sp. MGM2
Sample_S27A.4	Bacteroides coprophilus
Sample_S11B.27	Eubacterium sp. AM28-29
Sample_S41A.29	Prevotella sp. CAG:520
